iter	MAE
0	56702.77557
1	56676.52668
2	56642.45601
3	56606.06281
4	56589.12799
5	56565.32722
6	56532.71695
7	56510.57367
8	56484.48091
9	56460.15663
10	56429.80013
11	56412.22303
12	56382.62161
13	56368.05633
14	56339.09116
15	56319.85785
16	56291.64165
17	56255.94438
18	56213.23575
19	56177.6119
20	56146.47007
21	56116.28829
22	56072.95195
23	56052.28113
24	56034.06367
25	56009.21551
26	55994.9585
27	55966.77202
28	55930.54177
29	55902.68699
30	55878.80931
31	55858.87561
32	55817.31
33	55794.66175
34	55760.3428
35	55719.09561
36	55694.40071
37	55662.15001
38	55641.68698
39	55597.94777
40	55568.53671
41	55562.6926
42	55554.63644
43	55538.01569
44	55517.33897
45	55495.63254
46	55458.22818
47	55415.33385
48	55391.69077
49	55363.3334
50	55337.52085
51	55309.20518
52	55268.1681
53	55211.80175
54	55193.34964
55	55174.49362
56	55144.75162
57	55119.88664
58	55099.91237
59	55054.36096
60	55039.73326
61	55020.41443
62	54991.1841
63	54968.03074
64	54945.01899
65	54920.02925
66	54888.33892
67	54857.6396
68	54839.27669
69	54819.70528
70	54787.35509
71	54766.19168
72	54755.96432
73	54743.99336
74	54723.38352
75	54678.10923
76	54661.12448
77	54641.56676
78	54605.8129
79	54582.20031
80	54552.58577
81	54519.14367
82	54484.71034
83	54468.52634
84	54432.64234
85	54409.10999
86	54382.07181
87	54366.55335
88	54346.89966
89	54311.87964
90	54297.99305
91	54260.68083
92	54223.61138
93	54195.02126
94	54157.68826
95	54137.20188
96	54114.89565
97	54093.65381
98	54084.50695
99	54079.75506
100	54062.27982
101	54039.0807
102	54009.953
103	53994.49038
104	53966.68748
105	53943.59016
106	53918.45185
107	53905.75189
108	53885.38911
109	53831.12326
110	53811.70162
111	53792.41943
112	53773.79487
113	53753.73173
114	53739.53244
115	53720.73973
116	53711.30906
117	53688.59412
118	53668.97223
119	53642.74534
120	53620.41177
121	53595.45676
122	53579.50208
123	53552.18486
124	53528.29641
125	53498.78852
126	53481.72866
127	53459.1873
128	53434.01832
129	53411.69633
130	53375.03909
131	53344.6939
132	53340.69558
133	53312.54656
134	53281.11243
135	53245.20831
136	53190.03885
137	53151.4021
138	53121.09793
139	53104.70874
140	53077.75
141	53055.83378
142	53044.12767
143	53019.37674
144	52994.1868
145	52983.28293
146	52956.25414
147	52937.15108
148	52914.86034
149	52884.60892
150	52865.52189
151	52845.65771
152	52831.14138
153	52801.95058
154	52780.40876
155	52756.41786
156	52729.36448
157	52697.07397
158	52664.15551
159	52634.17724
160	52626.60766
161	52598.58463
162	52568.90174
163	52551.89651
164	52530.45958
165	52514.3309
166	52486.57835
167	52454.98668
168	52441.38352
169	52407.00504
170	52383.78491
171	52368.38332
172	52348.49099
173	52308.52707
174	52293.85882
175	52257.16896
176	52244.52774
177	52220.45417
178	52194.94705
179	52175.95941
180	52164.03507
181	52144.95059
182	52126.06439
183	52091.06425
184	52055.37789
185	52044.96629
186	52010.91106
187	51976.01061
188	51938.16459
189	51876.35056
190	51864.69493
191	51850.34836
192	51829.55964
193	51794.133
194	51757.69591
195	51733.93724
196	51655.34608
197	51630.48426
198	51576.08569
199	51553.8332
200	51529.41961
201	51509.8176
202	51487.63414
203	51459.64891
204	51428.97402
205	51375.77709
206	51336.44684
207	51299.7318
208	51280.24755
209	51242.40722
210	51212.28286
211	51192.44201
212	51180.34052
213	51144.34361
214	51109.39894
215	51086.69032
216	51063.62216
217	51024.97534
218	50994.60378
219	50967.43013
220	50939.68158
221	50914.1692
222	50878.43561
223	50845.0177
224	50810.54518
225	50794.43535
226	50760.19911
227	50721.65927
228	50674.68687
229	50647.705
230	50574.32831
231	50539.76937
232	50490.73422
233	50461.79406
234	50441.44738
235	50411.61204
236	50370.87989
237	50352.60327
238	50320.75646
239	50286.40324
240	50240.74279
241	50198.06016
242	50166.25201
243	50126.95463
244	50099.62834
245	50073.21953
246	50026.52329
247	49998.03376
248	49953.55207
249	49928.52905
250	49882.20672
251	49845.65477
252	49813.3897
253	49774.20569
254	49745.65207
255	49712.55575
256	49685.38751
257	49601.88897
258	49579.32151
259	49540.96024
260	49509.70416
261	49460.63909
262	49324.5007
263	49301.20642
264	49251.29695
265	49226.50994
266	49183.30649
267	49153.35418
268	49119.99562
269	49090.32096
270	49048.96176
271	49019.24513
272	48991.94206
273	48972.0764
274	48941.54856
275	48888.51407
276	48846.92088
277	48810.2036
278	48759.79762
279	48724.14071
280	48681.7877
281	48633.97729
282	48616.86824
283	48584.68953
284	48547.51303
285	48525.2464
286	48491.7888
287	48449.81139
288	48425.88603
289	48393.44141
290	48354.49365
291	48321.76892
292	48278.47059
293	48245.87998
294	48220.73551
295	48185.99431
296	48158.19665
297	48135.80322
298	48108.7133
299	48070.20262
300	48024.97985
301	47998.44864
302	47968.12102
303	47941.04803
304	47908.26443
305	47880.44956
306	47859.37505
307	47821.18839
308	47790.59333
309	47731.69231
310	47700.61191
311	47673.61643
312	47638.48017
313	47614.61542
314	47585.75742
315	47557.01299
316	47522.91793
317	47491.53675
318	47447.72499
319	47415.66256
320	47384.86077
321	47346.39424
322	47314.218
323	47279.06228
324	47246.43675
325	47216.9675
326	47184.81984
327	47137.70191
328	47112.46681
329	47080.78776
330	47059.57754
331	47037.17945
332	47005.62252
333	46982.8473
334	46958.0091
335	46939.24942
336	46910.61441
337	46884.50135
338	46857.71595
339	46838.45362
340	46807.59615
341	46772.54549
342	46752.95987
343	46729.52075
344	46697.13587
345	46673.20359
346	46648.22413
347	46624.39067
348	46605.73656
349	46571.21162
350	46554.58374
351	46519.33057
352	46502.69733
353	46479.80559
354	46461.22985
355	46438.67962
356	46414.49347
357	46391.18541
358	46366.62318
359	46332.75394
360	46314.98012
361	46286.3386
362	46260.27877
363	46243.68004
364	46226.04884
365	46205.51772
366	46177.95802
367	46155.56588
368	46122.58667
369	46110.03067
370	46093.33495
371	46070.87771
372	46043.50803
373	46023.58632
374	46004.43059
375	45986.15804
376	45970.26085
377	45943.92776
378	45931.65135
379	45912.88195
380	45884.80375
381	45867.20505
382	45849.78051
383	45831.39739
384	45810.18237
385	45789.6918
386	45762.82175
387	45745.60189
388	45732.09287
389	45718.00399
390	45691.62426
391	45669.59923
392	45652.1824
393	45631.32189
394	45605.42678
395	45597.48606
396	45578.69499
397	45560.90415
398	45544.45739
399	45524.75814
400	45510.9555
401	45498.9136
402	45470.92567
403	45438.78141
404	45422.53768
405	45407.53544
406	45391.27953
407	45349.96787
408	45334.3028
409	45318.02869
410	45293.75227
411	45250.45445
412	45237.94254
413	45227.88532
414	45210.48198
415	45194.88965
416	45170.99726
417	45155.27271
418	45144.67217
419	45129.76804
420	45118.5335
421	45098.16398
422	45078.27601
423	45058.42955
424	45046.47247
425	45036.46237
426	45022.62105
427	44988.59717
428	44955.11984
429	44934.53368
430	44914.53664
431	44883.29641
432	44855.34782
433	44846.24207
434	44807.84579
435	44790.47768
436	44779.83092
437	44763.26727
438	44750.54633
439	44722.19816
440	44691.31013
441	44674.3246
442	44658.85566
443	44645.54962
444	44626.2674
445	44614.36665
446	44605.84112
447	44591.53814
448	44566.92148
449	44550.09636
450	44524.91011
451	44505.38208
452	44488.10806
453	44473.78815
454	44460.89203
455	44448.95152
456	44436.50629
457	44418.76918
458	44407.3209
459	44398.14994
460	44382.48924
461	44371.43254
462	44355.23576
463	44339.94617
464	44329.70975
465	44310.96126
466	44293.84566
467	44272.39921
468	44252.15962
469	44236.28584
470	44217.72942
471	44207.18678
472	44184.46785
473	44175.3807
474	44161.57575
475	44150.62926
476	44139.24224
477	44122.21709
478	44111.85644
479	44098.83943
480	44076.12564
481	44069.77307
482	44054.93745
483	44041.00094
484	44027.83564
485	44015.52293
486	43999.90027
487	43988.39371
488	43976.95928
489	43968.53385
490	43957.83574
491	43952.34311
492	43938.00961
493	43927.14007
494	43918.17383
495	43892.65779
496	43867.6124
497	43855.0899
498	43840.87709
499	43819.49478
500	43797.2174
501	43787.77488
502	43768.59281
503	43758.7365
504	43753.7681
