iter	Passed	Remaining
0	2	2280
1	4	2298
2	6	2224
3	8	2176
4	10	2178
5	13	2228
6	15	2216
7	17	2192
8	19	2171
9	21	2146
10	23	2136
11	25	2124
12	28	2148
13	31	2183
14	33	2186
15	35	2177
16	37	2185
17	39	2172
18	41	2161
19	44	2177
20	47	2206
21	49	2222
22	52	2209
23	53	2193
24	56	2184
25	58	2175
26	60	2174
27	62	2171
28	64	2164
29	66	2156
30	68	2147
31	70	2139
32	72	2136
33	75	2144
34	78	2161
35	80	2160
36	83	2162
37	85	2157
38	87	2159
39	90	2174
40	93	2175
41	94	2149
42	96	2144
43	98	2137
44	100	2130
45	102	2123
46	104	2117
47	106	2118
48	109	2118
49	111	2118
50	112	2092
51	114	2086
52	116	2081
53	118	2075
54	120	2069
55	122	2071
56	125	2072
57	127	2076
58	129	2066
59	131	2062
60	133	2057
61	135	2052
62	137	2048
63	140	2047
64	142	2047
65	144	2043
66	146	2039
67	148	2035
68	150	2030
69	152	2025
70	154	2025
71	157	2026
72	159	2024
73	161	2019
74	163	2015
75	165	2011
76	167	2007
77	169	2006
78	171	2005
79	174	2002
80	176	1998
81	178	1995
82	180	1990
83	182	1986
84	184	1982
85	186	1982
86	189	1983
87	191	1980
88	193	1976
89	195	1972
90	196	1967
91	199	1969
92	202	1971
93	204	1970
94	206	1971
95	209	1973
96	212	1974
97	214	1975
98	217	1975
99	219	1975
100	222	1976
101	224	1975
102	227	1978
103	229	1973
104	231	1970
105	233	1969
106	236	1973
107	238	1973
108	241	1973
109	243	1971
110	245	1969
111	248	1966
112	250	1969
113	253	1972
114	256	1970
115	258	1967
116	260	1964
117	262	1961
118	264	1959
119	267	1959
120	269	1956
121	271	1952
122	273	1949
123	277	1958
124	280	1964
125	283	1967
126	286	1968
127	293	1997
128	296	2001
129	300	2008
130	303	2011
131	305	2009
132	306	1998
133	308	1995
134	311	1994
135	314	1997
136	317	2002
137	320	2002
138	323	2003
139	325	2002
140	329	2004
141	332	2007
142	334	2004
143	337	2003
144	339	2000
145	341	1998
146	344	1997
147	346	1996
148	348	1992
149	351	1989
150	353	1985
151	355	1981
152	357	1978
153	359	1976
154	362	1973
155	364	1970
156	366	1966
157	368	1963
158	370	1959
159	372	1956
160	375	1954
161	377	1953
162	379	1951
163	382	1947
164	383	1941
165	385	1938
166	388	1935
167	390	1935
168	393	1935
169	396	1933
170	398	1931
171	400	1928
172	402	1924
173	404	1921
174	407	1919
175	409	1919
176	412	1916
177	414	1914
178	416	1911
179	418	1908
180	420	1904
181	423	1903
182	425	1900
183	428	1898
184	430	1894
185	431	1890
186	433	1886
187	436	1883
188	438	1880
189	441	1880
190	443	1878
191	445	1875
192	447	1871
193	449	1868
194	451	1864
195	454	1863
196	456	1862
197	459	1859
198	461	1855
199	463	1852
200	465	1848
201	467	1844
202	469	1841
203	471	1838
204	473	1836
205	475	1833
206	477	1830
207	479	1826
208	481	1823
209	483	1820
210	486	1817
211	488	1816
212	490	1812
213	492	1809
214	494	1805
215	496	1802
216	498	1799
217	500	1796
218	503	1794
219	505	1791
220	507	1788
221	509	1785
222	511	1782
223	513	1778
224	515	1775
225	517	1773
226	520	1771
227	522	1769
228	524	1766
229	526	1762
230	528	1759
231	530	1756
232	532	1753
233	534	1751
234	537	1749
235	539	1747
236	541	1744
237	543	1741
238	545	1738
239	547	1735
240	550	1734
241	553	1734
242	555	1731
243	557	1728
244	560	1725
245	562	1722
246	564	1720
247	566	1718
248	569	1716
249	570	1712
250	572	1709
251	574	1706
252	576	1703
253	579	1700
254	581	1698
255	583	1696
256	587	1698
257	589	1695
258	591	1692
259	593	1689
260	595	1686
261	598	1685
262	600	1683
263	602	1680
264	604	1677
265	606	1674
266	608	1671
267	611	1669
268	613	1667
269	616	1666
270	618	1663
271	621	1662
272	623	1660
273	625	1657
274	627	1654
275	629	1652
276	633	1652
277	635	1650
278	637	1647
279	639	1645
280	641	1642
281	643	1639
282	646	1637
283	649	1636
284	651	1634
285	653	1631
286	655	1628
287	657	1625
288	659	1622
289	662	1621
290	665	1621
291	667	1618
292	669	1616
293	671	1613
294	673	1610
295	676	1608
296	678	1607
297	681	1605
298	683	1602
299	685	1600
300	687	1597
301	689	1594
302	691	1591
303	694	1589
304	696	1587
305	699	1585
306	701	1583
307	703	1580
308	705	1578
309	708	1576
310	711	1576
311	713	1574
312	716	1571
313	718	1568
314	720	1565
315	722	1563
316	724	1561
317	727	1559
318	729	1557
319	732	1555
320	734	1552
321	736	1550
322	738	1547
323	741	1546
324	743	1544
325	745	1542
326	747	1539
327	749	1536
328	751	1533
329	753	1530
330	756	1528
331	758	1526
332	761	1524
333	763	1522
334	765	1519
335	767	1516
336	769	1513
337	771	1511
338	774	1510
339	776	1508
340	778	1505
341	780	1502
342	782	1499
343	784	1496
344	787	1494
345	789	1492
346	792	1491
347	794	1488
348	796	1486
349	798	1483
350	801	1481
351	804	1480
352	806	1479
353	809	1476
354	811	1473
355	813	1471
356	815	1468
357	817	1465
358	819	1463
359	822	1462
360	824	1460
361	826	1457
362	828	1454
363	830	1451
364	832	1449
365	835	1446
366	837	1445
367	840	1443
368	842	1441
369	844	1438
370	847	1436
371	849	1433
372	851	1431
373	854	1429
374	856	1427
375	858	1425
376	860	1422
377	862	1419
378	864	1416
379	866	1414
380	869	1412
381	871	1410
382	873	1407
383	875	1404
384	877	1402
385	879	1399
386	881	1396
387	884	1394
388	886	1392
389	888	1389
390	890	1387
391	892	1384
392	894	1381
393	896	1379
394	899	1377
395	901	1375
396	903	1372
397	905	1370
398	907	1367
399	909	1364
400	911	1362
401	914	1359
402	916	1357
403	918	1355
404	920	1352
405	922	1350
406	924	1347
407	926	1344
408	929	1342
409	931	1340
410	934	1339
411	936	1336
412	938	1334
413	941	1332
414	943	1329
415	945	1327
416	948	1325
417	950	1323
418	952	1321
419	955	1318
420	957	1316
421	959	1314
422	962	1312
423	965	1311
424	967	1308
425	969	1306
426	971	1303
427	973	1301
428	975	1298
429	978	1296
430	980	1294
431	982	1292
432	984	1289
433	986	1287
434	988	1284
435	990	1281
436	993	1280
437	996	1278
438	999	1276
439	1001	1274
440	1003	1271
441	1005	1269
442	1007	1266
443	1009	1264
444	1012	1262
445	1014	1260
446	1017	1258
447	1019	1256
448	1021	1253
449	1023	1251
450	1026	1249
451	1028	1247
452	1031	1245
453	1033	1242
454	1035	1240
455	1037	1237
456	1039	1235
457	1042	1233
458	1044	1231
459	1046	1229
460	1048	1226
461	1050	1223
462	1052	1221
463	1054	1218
464	1057	1216
465	1059	1214
466	1061	1211
467	1063	1209
468	1065	1206
469	1067	1204
470	1069	1201
471	1071	1199
472	1074	1196
473	1076	1194
474	1078	1192
475	1081	1190
476	1083	1188
477	1085	1185
478	1087	1182
479	1089	1180
480	1092	1178
481	1094	1176
482	1096	1173
483	1098	1171
484	1100	1168
485	1102	1166
486	1105	1164
487	1108	1162
488	1110	1160
489	1112	1158
490	1114	1155
491	1116	1153
492	1118	1150
493	1121	1148
494	1123	1146
495	1125	1143
496	1127	1141
497	1129	1138
498	1131	1136
499	1133	1133
500	1136	1131
501	1138	1129
502	1141	1127
503	1143	1125
504	1145	1122
505	1147	1120
506	1149	1117
507	1151	1115
508	1154	1113
509	1156	1111
510	1158	1108
511	1160	1106
512	1162	1103
513	1164	1101
514	1166	1098
515	1168	1096
516	1185	1107
517	1187	1105
518	1190	1102
519	1192	1100
520	1194	1097
521	1196	1095
522	1198	1092
523	1200	1090
524	1203	1088
525	1205	1086
526	1207	1083
527	1209	1081
528	1211	1078
529	1213	1076
530	1215	1073
531	1218	1071
532	1221	1069
533	1223	1067
534	1225	1065
535	1227	1062
536	1229	1060
537	1232	1057
538	1234	1055
539	1237	1053
540	1239	1051
541	1241	1048
542	1243	1046
543	1245	1043
544	1247	1041
545	1249	1039
546	1252	1037
547	1254	1034
548	1256	1032
549	1258	1030
550	1261	1028
551	1264	1025
552	1266	1024
553	1268	1021
554	1270	1019
555	1272	1016
556	1274	1014
557	1276	1011
558	1278	1008
559	1281	1006
560	1284	1005
561	1286	1002
562	1288	1000
563	1290	997
564	1292	995
565	1294	992
566	1297	990
567	1300	988
568	1302	986
569	1304	983
570	1306	981
571	1308	978
572	1310	976
573	1312	974
574	1315	972
575	1317	969
576	1319	967
577	1321	964
578	1323	962
579	1325	959
580	1327	957
581	1330	955
582	1332	953
583	1334	950
584	1336	948
585	1339	946
586	1342	944
587	1344	942
588	1347	940
589	1349	938
590	1352	936
591	1355	934
592	1358	932
593	1360	929
594	1362	927
595	1365	925
596	1367	922
597	1369	920
598	1371	917
599	1373	915
600	1375	913
601	1378	911
602	1380	908
603	1382	906
604	1384	903
605	1386	901
606	1388	898
607	1390	896
608	1393	894
609	1395	892
610	1397	889
611	1399	887
612	1401	884
613	1403	882
614	1405	879
615	1408	877
616	1410	875
617	1413	873
618	1415	870
619	1417	868
620	1419	866
621	1421	863
622	1423	861
623	1426	859
624	1428	856
625	1430	854
626	1432	852
627	1434	849
628	1437	847
629	1439	845
630	1442	843
631	1444	841
632	1446	838
633	1448	836
634	1450	833
635	1452	831
636	1454	829
637	1457	826
638	1459	824
639	1461	822
640	1463	819
641	1465	817
642	1467	814
643	1469	812
644	1472	810
645	1474	807
646	1476	805
647	1478	803
648	1480	800
649	1482	798
650	1484	795
651	1486	793
652	1489	791
653	1492	789
654	1494	787
655	1496	784
656	1498	782
657	1500	779
658	1503	777
659	1506	775
660	1508	773
661	1510	771
662	1512	768
663	1514	766
664	1516	763
665	1518	761
666	1521	759
667	1523	757
668	1525	754
669	1527	752
670	1529	750
671	1531	747
672	1534	745
673	1536	743
674	1539	741
675	1541	738
676	1543	736
677	1545	733
678	1547	731
679	1549	729
680	1551	726
681	1554	724
682	1556	722
683	1558	719
684	1560	717
685	1562	715
686	1564	712
687	1566	710
688	1568	708
689	1571	705
690	1573	703
691	1575	701
692	1577	698
693	1579	696
694	1581	693
695	1584	692
696	1586	689
697	1588	687
698	1590	685
699	1592	682
700	1594	680
701	1597	678
702	1600	676
703	1602	673
704	1604	671
705	1606	668
706	1608	666
707	1610	664
708	1612	661
709	1614	659
710	1617	657
711	1619	655
712	1621	652
713	1623	650
714	1626	648
715	1628	645
716	1630	643
717	1632	641
718	1634	638
719	1637	636
720	1640	634
721	1642	632
722	1645	630
723	1647	628
724	1649	625
